age,gender,height_cm,weight_kg,bmi,training_hours_per_week,resting_heart_rate,vo2max,reaction_time_ms,sleep_hours,flexibility_score,performance_score,performance_level
29,Male,162.8,63.8,24.1,8.4,56.4,49.2,222.0,5.2,31.6,49.0,Intermediate
18,Male,179.2,71.2,22.2,4.8,70.5,42.8,253.0,4.9,38.4,36.1,Intermediate
18,Male,159.1,67.9,26.8,18.8,52.3,66.8,260.8,6.7,32.9,80.6,Advanced
22,Male,178.6,57.6,18.1,12.3,61.8,38.1,269.4,8.7,36.5,62.5,Advanced
33,Male,187.4,79.0,22.5,2.1,65.3,65.3,378.4,7.3,23.9,45.2,Intermediate
35,Male,181.2,62.9,19.2,10.4,51.0,35.7,277.5,6.6,24.8,48.9,Intermediate
26,Female,164.4,87.0,32.2,6.9,63.0,37.4,311.9,7.4,30.2,22.9,Beginner
38,Male,167.3,67.7,24.2,14.8,59.0,55.9,264.8,7.8,18.8,64.2,Advanced
17,Male,181.2,65.7,20.0,10.3,67.4,38.7,214.4,5.5,27.4,46.0,Intermediate
16,Male,173.9,67.9,22.5,3.5,78.0,26.3,266.1,6.3,28.6,17.0,Beginner
33,Male,153.2,68.7,29.3,3.2,81.7,46.1,247.5,6.0,26.8,20.4,Beginner
31,Male,189.2,73.5,20.5,2.7,61.1,42.0,235.5,8.0,35.3,45.2,Intermediate
25,Male,176.9,56.1,17.9,8.7,50.2,44.7,263.3,6.8,42.6,63.3,Advanced
16,Female,160.7,92.3,35.7,1.4,66.6,31.7,284.0,6.9,23.3,0.0,Beginner
30,Male,177.3,79.2,25.2,0.0,62.8,27.7,287.3,8.5,33.9,19.4,Beginner
16,Female,197.1,86.0,22.1,6.1,59.9,39.5,286.4,7.5,19.8,37.3,Intermediate
31,Male,173.5,55.4,18.4,3.1,63.7,44.6,269.2,6.5,24.6,40.8,Intermediate
35,Female,173.4,74.9,24.9,6.5,61.0,45.4,274.8,9.1,26.6,45.4,Intermediate
30,Male,168.6,81.3,28.6,0.0,56.7,44.1,288.9,8.8,20.7,25.3,Intermediate
20,Male,181.5,87.8,26.7,7.5,55.7,47.8,253.9,6.4,39.7,47.0,Intermediate
16,Male,177.5,49.1,15.6,8.0,73.4,37.1,254.7,6.1,29.8,45.9,Intermediate
32,Female,183.1,59.3,17.7,3.4,60.8,40.7,255.3,4.8,22.9,35.8,Intermediate
20,Male,167.7,65.8,23.4,0.3,62.9,26.6,294.5,4.3,24.7,7.1,Beginner
33,Female,182.3,74.3,22.4,7.7,77.4,47.8,293.8,7.3,21.3,40.3,Intermediate
39,Female,163.2,56.4,21.2,12.6,56.6,50.2,204.5,5.6,29.1,62.3,Advanced
19,Female,180.0,84.7,26.1,0.0,64.3,44.6,285.0,6.5,31.0,25.1,Intermediate
18,Female,167.1,57.9,20.7,8.0,51.5,38.6,165.1,6.1,21.4,48.0,Intermediate
36,Male,175.4,46.5,15.1,0.0,77.1,46.1,288.8,8.2,25.4,41.0,Intermediate
23,Male,159.4,71.8,28.3,10.5,72.1,35.8,290.5,6.2,22.4,26.0,Intermediate
18,Male,176.0,64.6,20.9,5.5,51.4,51.7,264.7,7.5,26.9,54.4,Intermediate
36,Female,174.8,70.7,23.1,7.8,60.6,44.1,307.1,6.0,37.6,43.9,Intermediate
31,Male,159.7,68.3,26.8,2.5,65.3,40.2,271.6,7.8,41.8,32.5,Intermediate
32,Female,192.3,86.7,23.4,12.7,56.1,46.7,166.0,6.9,31.1,62.6,Advanced
23,Male,181.2,78.0,23.8,11.4,66.9,62.2,203.2,7.4,26.4,66.4,Advanced
25,Male,164.1,68.8,25.5,14.1,56.5,60.8,231.0,6.0,33.6,68.3,Advanced
19,Male,164.9,53.8,19.8,3.7,65.4,58.4,327.9,5.7,23.8,44.9,Intermediate
36,Female,172.5,64.5,21.7,11.1,62.4,51.5,207.8,5.7,30.5,58.8,Advanced
22,Female,169.3,64.4,22.5,24.3,53.2,69.2,177.2,6.6,26.6,100.0,Elite
17,Female,174.1,51.7,17.1,2.1,48.5,39.5,354.5,6.5,38.8,42.6,Intermediate
37,Male,153.3,79.4,33.8,7.5,55.0,49.8,254.4,7.7,54.5,46.8,Intermediate
38,Male,191.9,53.3,14.5,5.6,53.9,50.4,263.6,6.1,16.6,55.1,Advanced
18,Female,167.8,53.3,18.9,3.4,64.4,37.9,295.5,5.4,26.0,31.2,Intermediate
17,Male,187.1,61.0,17.4,10.5,57.9,59.1,236.4,6.6,31.7,73.2,Advanced
28,Male,173.3,56.2,18.7,9.7,57.2,41.6,268.6,6.0,38.3,55.1,Advanced
24,Male,199.5,65.2,16.4,1.0,65.2,47.0,235.0,5.9,37.4,46.6,Intermediate
19,Male,183.6,52.8,15.7,6.7,60.7,31.1,287.0,8.3,22.3,44.0,Intermediate
26,Female,185.6,65.6,19.0,0.8,54.0,40.9,281.2,8.5,26.1,41.1,Intermediate
21,Male,187.0,66.6,19.0,0.0,54.6,37.9,249.2,7.4,25.4,35.7,Intermediate
16,Male,175.8,74.5,24.1,10.4,68.2,52.3,270.8,4.0,41.1,49.0,Intermediate
27,Female,176.5,73.2,23.5,11.4,59.5,49.6,281.6,8.4,21.9,56.0,Advanced
18,Male,173.7,67.3,22.3,5.4,61.1,44.6,319.2,5.5,30.7,36.7,Intermediate
26,Male,178.6,74.1,23.2,4.0,68.5,31.4,347.9,5.5,44.2,23.4,Beginner
38,Male,175.8,66.7,21.6,8.3,58.9,43.6,231.4,6.6,21.0,46.5,Intermediate
29,Female,178.6,86.4,27.1,10.4,60.0,47.1,231.9,8.1,34.1,52.9,Intermediate
34,Male,167.1,61.2,21.9,18.3,57.8,38.8,196.1,5.8,39.4,66.3,Advanced
20,Female,170.8,63.2,21.7,9.5,67.7,46.1,213.8,5.3,24.7,46.5,Intermediate
31,Female,180.5,70.0,21.5,15.3,67.5,57.1,234.0,8.2,35.5,76.1,Advanced
27,Male,175.2,60.8,19.8,13.7,51.4,51.6,262.4,8.0,24.7,70.8,Advanced
28,Female,179.8,85.4,26.4,1.9,73.0,34.2,245.5,6.5,22.2,15.5,Beginner
36,Female,181.7,77.5,23.5,1.7,60.6,48.5,351.0,7.5,19.8,31.3,Intermediate
22,Male,183.9,78.3,23.2,8.8,65.5,73.8,292.5,8.4,37.1,74.6,Advanced
29,Male,179.9,76.3,23.6,9.3,54.7,54.2,206.8,8.0,32.2,64.1,Advanced
35,Male,172.7,78.6,26.4,2.7,53.1,46.0,241.2,7.9,42.4,44.1,Intermediate
32,Female,166.3,61.5,22.2,5.1,69.9,32.7,222.1,7.7,26.9,33.2,Intermediate
22,Male,186.6,76.0,21.8,6.3,76.0,49.2,262.1,9.4,30.0,50.7,Intermediate
30,Female,168.1,57.1,20.2,5.7,59.3,34.9,274.3,6.4,14.6,31.9,Intermediate
36,Male,175.0,58.7,19.2,11.5,68.5,53.4,347.7,8.0,29.0,61.0,Advanced
23,Female,191.2,74.5,20.4,9.1,55.9,44.4,250.9,7.0,26.7,53.4,Intermediate
27,Female,167.1,69.4,24.9,12.5,60.9,49.8,208.6,7.5,34.0,61.3,Advanced
38,Female,172.3,73.0,24.6,6.7,61.4,36.7,249.8,6.5,32.1,35.7,Intermediate
23,Female,176.2,63.1,20.3,4.4,61.1,43.7,259.6,7.7,32.9,46.9,Intermediate
17,Female,157.1,61.1,24.8,9.2,58.6,42.8,277.3,7.5,33.9,47.3,Intermediate
27,Female,164.3,65.7,24.3,15.7,47.9,66.7,300.0,5.8,29.5,74.8,Advanced
21,Male,187.5,70.7,20.1,14.1,67.2,46.0,266.5,6.6,33.3,60.7,Advanced
39,Male,179.5,65.9,20.5,10.2,53.8,65.2,240.9,8.5,27.8,77.4,Advanced
